Algoritmo,Condição,Tamanho do vetor,Tempo de execução (microsec),Tempo de execução (sec),Comparações realizadas,Trocas realizadas
Insertion Sort,ordem-decrescente,5870,39298,0,17224966,17230835
Insertion Sort,ordem-decrescente,5880,41306,0,17283711,17289590
Insertion Sort,ordem-decrescente,5890,42158,0,17342553,17348442
Insertion Sort,ordem-decrescente,5900,39045,0,17401496,17407395
Insertion Sort,ordem-decrescente,5910,39904,0,17460539,17466448
Insertion Sort,ordem-decrescente,5920,39147,0,17519680,17525599
Insertion Sort,ordem-decrescente,5930,39377,0,17578925,17584854
Insertion Sort,ordem-decrescente,5940,39696,0,17638266,17644205
Insertion Sort,ordem-decrescente,5950,42800,0,17697709,17703658
Insertion Sort,ordem-decrescente,5960,40384,0,17757251,17763210
Insertion Sort,ordem-decrescente,5970,40428,0,17816895,17822864
Insertion Sort,ordem-decrescente,5980,40191,0,17876637,17882616
Insertion Sort,ordem-decrescente,5990,40232,0,17936480,17942469
Insertion Sort,ordem-decrescente,6000,40798,0,17996424,18002423
Insertion Sort,ordem-decrescente,6010,41242,0,18056468,18062477
Insertion Sort,ordem-decrescente,6020,41319,0,18116612,18122631
Insertion Sort,ordem-decrescente,6030,41282,0,18176856,18182885
Insertion Sort,ordem-decrescente,6040,40809,0,18237201,18243240
Insertion Sort,ordem-decrescente,6050,41436,1,18297642,18303691
Insertion Sort,ordem-decrescente,6060,41180,0,18358181,18364240
Insertion Sort,ordem-decrescente,6070,41311,0,18418826,18424895
Insertion Sort,ordem-decrescente,6080,43927,0,18479567,18485646
Insertion Sort,ordem-decrescente,6090,41807,0,18540407,18546496
Insertion Sort,ordem-decrescente,6100,42282,0,18601348,18607447
Insertion Sort,ordem-decrescente,6110,45885,0,18662391,18668500
Insertion Sort,ordem-decrescente,6120,42760,0,18723531,18729650
Insertion Sort,ordem-decrescente,6130,42654,0,18784775,18790904
Insertion Sort,ordem-decrescente,6140,42323,1,18846118,18852257
Insertion Sort,ordem-decrescente,6150,42542,0,18907563,18913712
Insertion Sort,ordem-decrescente,6160,44027,0,18969107,18975266
Insertion Sort,ordem-decrescente,6170,42798,0,19030751,19036920
Insertion Sort,ordem-decrescente,6180,43312,0,19092494,19098673
Insertion Sort,ordem-decrescente,6190,43708,0,19154335,19160524
Insertion Sort,ordem-decrescente,6200,44205,0,19216279,19222478
Insertion Sort,ordem-decrescente,6210,44513,0,19278323,19284532
Insertion Sort,ordem-decrescente,6220,43673,0,19340467,19346686
Insertion Sort,ordem-decrescente,6230,44085,1,19402712,19408941
Insertion Sort,ordem-decrescente,6240,44562,0,19465055,19471294
Insertion Sort,ordem-decrescente,6250,43945,0,19527499,19533748
Insertion Sort,ordem-decrescente,6260,45040,0,19590041,19596300
Insertion Sort,ordem-decrescente,6270,44224,0,19652685,19658954
Insertion Sort,ordem-decrescente,6280,46132,0,19715429,19721708
Insertion Sort,ordem-decrescente,6290,45979,0,19778273,19784562
Insertion Sort,ordem-decrescente,6300,44701,0,19841217,19847516
Insertion Sort,ordem-decrescente,6310,45835,0,19904261,19910570
Insertion Sort,ordem-decrescente,6320,45296,1,19967406,19973725
Insertion Sort,ordem-decrescente,6330,45397,0,20030650,20036979
Insertion Sort,ordem-decrescente,6340,44822,0,20093994,20100333
Insertion Sort,ordem-decrescente,6350,45489,0,20157435,20163784
Insertion Sort,ordem-decrescente,6360,45619,0,20220978,20227337
Insertion Sort,ordem-decrescente,6370,46499,0,20284622,20290991
Insertion Sort,ordem-decrescente,6380,46116,0,20348366,20354745
Insertion Sort,ordem-decrescente,6390,46346,0,20412206,20418595
Insertion Sort,ordem-decrescente,6400,47226,0,20476151,20482550
Insertion Sort,ordem-decrescente,6410,46290,0,20540196,20546605
Insertion Sort,ordem-decrescente,6420,46591,0,20604337,20610756
Insertion Sort,ordem-decrescente,6430,49178,0,20668581,20675010
Insertion Sort,ordem-decrescente,6440,46993,0,20732924,20739363
Insertion Sort,ordem-decrescente,6450,49209,0,20797368,20803817
Insertion Sort,ordem-decrescente,6460,47033,0,20861912,20868371
Insertion Sort,ordem-decrescente,6470,46945,0,20926556,20933025
Insertion Sort,ordem-decrescente,6480,48001,0,20991297,20997776
Insertion Sort,ordem-decrescente,6490,47543,1,21056139,21062628
Insertion Sort,ordem-decrescente,6500,47677,0,21121079,21127578
Insertion Sort,ordem-decrescente,6510,47692,0,21186124,21192633
Insertion Sort,ordem-decrescente,6520,47889,0,21251265,21257784
Insertion Sort,ordem-decrescente,6530,48831,0,21316509,21323038
Insertion Sort,ordem-decrescente,6540,53195,0,21381852,21388391
Insertion Sort,ordem-decrescente,6550,49034,0,21447295,21453844
Insertion Sort,ordem-decrescente,6560,48138,0,21512837,21519396
Insertion Sort,ordem-decrescente,6570,49129,1,21578480,21585049
Insertion Sort,ordem-decrescente,6580,48626,0,21644222,21650801
Insertion Sort,ordem-decrescente,6590,52853,0,21710065,21716654
Insertion Sort,ordem-decrescente,6600,51161,0,21776007,21782606
Insertion Sort,ordem-decrescente,6610,49297,0,21842049,21848658
Insertion Sort,ordem-decrescente,6620,49209,0,21908188,21914807
Insertion Sort,ordem-decrescente,6630,51538,0,21974431,21981060
Insertion Sort,ordem-decrescente,6640,52267,0,22040776,22047415
Insertion Sort,ordem-decrescente,6650,50376,0,22107217,22113866
Insertion Sort,ordem-decrescente,6660,49809,0,22173759,22180418
Insertion Sort,ordem-decrescente,6670,51705,0,22240400,22247069
Insertion Sort,ordem-decrescente,6680,50003,0,22307145,22313824
Insertion Sort,ordem-decrescente,6690,50255,0,22373985,22380674
Insertion Sort,ordem-decrescente,6700,51142,0,22440927,22447626
Insertion Sort,ordem-decrescente,6710,51123,0,22507969,22514678
Insertion Sort,ordem-decrescente,6720,50712,0,22575112,22581831
Insertion Sort,ordem-decrescente,6730,50849,0,22642355,22649084
Insertion Sort,ordem-decrescente,6740,50953,0,22709698,22716437
Insertion Sort,ordem-decrescente,6750,52875,0,22777141,22783890
Insertion Sort,ordem-decrescente,6760,51606,0,22844683,22851442
Insertion Sort,ordem-decrescente,6770,51450,0,22912326,22919095
Insertion Sort,ordem-decrescente,6780,55465,0,22980071,22986850
Insertion Sort,ordem-decrescente,6790,53076,0,23047914,23054703
Insertion Sort,ordem-decrescente,6800,52310,0,23115856,23122655
Insertion Sort,ordem-decrescente,6810,51959,1,23183898,23190707
Insertion Sort,ordem-decrescente,6820,53276,0,23252042,23258861
Insertion Sort,ordem-decrescente,6830,52852,0,23320285,23327114
Insertion Sort,ordem-decrescente,6840,53236,0,23388628,23395467
Insertion Sort,ordem-decrescente,6850,54299,0,23457073,23463922
Insertion Sort,ordem-decrescente,6860,52846,0,23525613,23532472
Insertion Sort,ordem-decrescente,6870,57484,0,23594255,23601124
Insertion Sort,ordem-decrescente,6880,55141,0,23662998,23669877
Insertion Sort,ordem-decrescente,6890,54914,0,23731841,23738730
Insertion Sort,ordem-decrescente,6900,53507,0,23800783,23807682
Insertion Sort,ordem-decrescente,6910,58640,0,23869827,23876736
Insertion Sort,ordem-decrescente,6920,54076,0,23938970,23945889
Insertion Sort,ordem-decrescente,6930,53887,0,24008215,24015144
Insertion Sort,ordem-decrescente,6940,54592,0,24077557,24084496
Insertion Sort,ordem-decrescente,6950,56020,0,24147001,24153950
Insertion Sort,ordem-decrescente,6960,54414,1,24216545,24223504
Insertion Sort,ordem-decrescente,6970,55944,0,24286189,24293158
Insertion Sort,ordem-decrescente,6980,55034,0,24355933,24362912
Insertion Sort,ordem-decrescente,6990,59230,0,24425774,24432763
Insertion Sort,ordem-decrescente,7000,55531,0,24495718,24502717
Insertion Sort,ordem-decrescente,7010,54862,0,24565760,24572769
Insertion Sort,ordem-decrescente,7020,57149,0,24635903,24642922
Insertion Sort,ordem-decrescente,7030,62618,0,24706147,24713176
Insertion Sort,ordem-decrescente,7040,55930,0,24776492,24783531
Insertion Sort,ordem-decrescente,7050,56426,0,24846935,24853984
Insertion Sort,ordem-decrescente,7060,56527,0,24917480,24924539
