Algoritmo,Condição,Tamanho do vetor,Tempo de execução (microsec),Tempo de execução (sec),Comparações realizadas,Trocas realizadas
Selection Sort,ordem-decrescente,7120,51994,0,25343640,3892
Selection Sort,ordem-decrescente,7130,52143,0,25414885,3903
Selection Sort,ordem-decrescente,7140,52482,0,25486230,3905
Selection Sort,ordem-decrescente,7150,75622,0,25557675,3907
Selection Sort,ordem-decrescente,7160,54373,0,25629220,3909
Selection Sort,ordem-decrescente,7170,52868,0,25700865,3917
Selection Sort,ordem-decrescente,7180,53998,0,25772610,3915
Selection Sort,ordem-decrescente,7190,52963,0,25844455,3923
Selection Sort,ordem-decrescente,7200,55112,0,25916400,3934
Selection Sort,ordem-decrescente,7210,53960,0,25988445,3938
Selection Sort,ordem-decrescente,7220,55207,0,26060590,3953
Selection Sort,ordem-decrescente,7230,53845,1,26132835,3955
Selection Sort,ordem-decrescente,7240,54723,0,26205180,3964
Selection Sort,ordem-decrescente,7250,54285,0,26277625,3967
Selection Sort,ordem-decrescente,7260,54262,0,26350170,3973
Selection Sort,ordem-decrescente,7270,54743,0,26422815,3984
Selection Sort,ordem-decrescente,7280,57759,0,26495560,3984
Selection Sort,ordem-decrescente,7290,54017,0,26568405,3995
Selection Sort,ordem-decrescente,7300,54633,0,26641350,3995
Selection Sort,ordem-decrescente,7310,55341,0,26714395,3997
Selection Sort,ordem-decrescente,7320,55929,0,26787540,4010
Selection Sort,ordem-decrescente,7330,54993,0,26860785,4010
Selection Sort,ordem-decrescente,7340,56604,0,26934130,4024
Selection Sort,ordem-decrescente,7350,57802,0,27007575,4027
Selection Sort,ordem-decrescente,7360,57674,0,27081120,4035
Selection Sort,ordem-decrescente,7370,57135,0,27154765,4050
Selection Sort,ordem-decrescente,7380,56401,0,27228510,4039
Selection Sort,ordem-decrescente,7390,56581,0,27302355,4040
Selection Sort,ordem-decrescente,7400,56046,0,27376300,4050
Selection Sort,ordem-decrescente,7410,57808,0,27450345,4054
Selection Sort,ordem-decrescente,7420,60181,0,27524490,4058
Selection Sort,ordem-decrescente,7430,56670,0,27598735,4067
Selection Sort,ordem-decrescente,7440,57049,0,27673080,4079
Selection Sort,ordem-decrescente,7450,57343,0,27747525,4077
Selection Sort,ordem-decrescente,7460,56888,0,27822070,4082
