Algoritmo,Condição,Tamanho do vetor,Tempo de execução (microsec),Tempo de execução (sec),Comparações realizadas,Trocas realizadas
Quick Sort Pivo Aleatorio,Aleatorio,1300,145,0,41802,6416
Quick Sort Pivo Aleatorio,Aleatorio,1310,148,0,35658,6754
Quick Sort Pivo Aleatorio,Aleatorio,1320,193,0,37876,5418
Quick Sort Pivo Aleatorio,Aleatorio,1330,150,0,42094,7245
Quick Sort Pivo Aleatorio,Aleatorio,1340,161,0,46860,5946
Quick Sort Pivo Aleatorio,Aleatorio,1350,197,0,43320,5837
Quick Sort Pivo Aleatorio,Aleatorio,1360,157,0,44039,6405
Quick Sort Pivo Aleatorio,Aleatorio,1370,157,0,40953,5631
Quick Sort Pivo Aleatorio,Aleatorio,1380,164,0,42185,6725
Quick Sort Pivo Aleatorio,Aleatorio,1390,173,0,40471,7685
Quick Sort Pivo Aleatorio,Aleatorio,1400,168,0,42490,6823
Quick Sort Pivo Aleatorio,Aleatorio,1410,164,0,49557,6076
Quick Sort Pivo Aleatorio,Aleatorio,1420,192,0,43836,7437
Quick Sort Pivo Aleatorio,Aleatorio,1430,170,0,42749,6666
Quick Sort Pivo Aleatorio,Aleatorio,1440,204,0,47532,7169
Quick Sort Pivo Aleatorio,Aleatorio,1450,196,0,54228,8123
Quick Sort Pivo Aleatorio,Aleatorio,1460,184,0,44662,6846
Quick Sort Pivo Aleatorio,Aleatorio,1470,169,0,48047,6631
Quick Sort Pivo Aleatorio,Aleatorio,1480,203,0,48664,6606
Quick Sort Pivo Aleatorio,Aleatorio,1490,176,0,43691,8596
Quick Sort Pivo Aleatorio,Aleatorio,1500,201,0,47265,7663
Quick Sort Pivo Aleatorio,Aleatorio,1510,178,0,55846,6274
Quick Sort Pivo Aleatorio,Aleatorio,1520,188,0,56279,7411
Quick Sort Pivo Aleatorio,Aleatorio,1530,192,0,52830,8346
Quick Sort Pivo Aleatorio,Aleatorio,1540,186,0,55406,8065
Quick Sort Pivo Aleatorio,Aleatorio,1550,195,0,58535,7991
Quick Sort Pivo Aleatorio,Aleatorio,1560,190,0,53323,8843
Quick Sort Pivo Aleatorio,Aleatorio,1570,190,0,50617,7527
Quick Sort Pivo Aleatorio,Aleatorio,1580,202,0,57000,7824
Quick Sort Pivo Aleatorio,Aleatorio,1590,192,0,56748,7174
Quick Sort Pivo Aleatorio,Aleatorio,1600,189,0,55855,7980
Quick Sort Pivo Aleatorio,Aleatorio,1610,208,0,55231,9694
