Algoritmo,Condição,Tamanho do vetor,Tempo de execução (microsec),Tempo de execução (sec),Comparações realizadas,Trocas realizadas
Quick Sort Pivo Fixo,aleatorio,1310,141,0,16126,9505
Quick Sort Pivo Fixo,aleatorio,1320,117,0,14952,7736
Quick Sort Pivo Fixo,aleatorio,1330,130,0,16139,7593
Quick Sort Pivo Fixo,aleatorio,1340,113,0,17079,9181
Quick Sort Pivo Fixo,aleatorio,1350,131,0,14821,7316
Quick Sort Pivo Fixo,aleatorio,1360,155,0,17333,10587
Quick Sort Pivo Fixo,aleatorio,1370,151,0,16886,10199
Quick Sort Pivo Fixo,aleatorio,1380,146,0,15672,9267
Quick Sort Pivo Fixo,aleatorio,1390,147,0,17475,11139
Quick Sort Pivo Fixo,aleatorio,1400,142,0,14870,7627
Quick Sort Pivo Fixo,aleatorio,1410,126,0,15755,8702
Quick Sort Pivo Fixo,aleatorio,1420,149,0,15818,9125
Quick Sort Pivo Fixo,aleatorio,1430,119,0,16292,8786
Quick Sort Pivo Fixo,aleatorio,1440,152,0,17855,8839
Quick Sort Pivo Fixo,aleatorio,1450,148,0,15859,9088
Quick Sort Pivo Fixo,aleatorio,1460,117,0,16442,8770
Quick Sort Pivo Fixo,aleatorio,1470,148,0,16804,9274
Quick Sort Pivo Fixo,aleatorio,1480,155,0,15965,8926
Quick Sort Pivo Fixo,aleatorio,1490,130,0,16310,8293
Quick Sort Pivo Fixo,aleatorio,1500,165,0,17580,10677
Quick Sort Pivo Fixo,aleatorio,1510,160,0,18223,11582
Quick Sort Pivo Fixo,aleatorio,1520,151,0,16710,8808
Quick Sort Pivo Fixo,aleatorio,1530,126,0,18225,10568
Quick Sort Pivo Fixo,aleatorio,1540,167,0,21390,11356
Quick Sort Pivo Fixo,aleatorio,1550,161,0,19596,10262
Quick Sort Pivo Fixo,aleatorio,1560,130,0,17797,9741
Quick Sort Pivo Fixo,aleatorio,1570,162,0,18139,9997
Quick Sort Pivo Fixo,aleatorio,1580,160,0,17508,8563
Quick Sort Pivo Fixo,aleatorio,1590,156,0,17963,9632
Quick Sort Pivo Fixo,aleatorio,1600,174,0,19179,11807
Quick Sort Pivo Fixo,aleatorio,1610,175,0,18487,10922
Quick Sort Pivo Fixo,aleatorio,1620,171,0,18672,10052
Quick Sort Pivo Fixo,aleatorio,1630,178,0,21359,11849
Quick Sort Pivo Fixo,aleatorio,1640,142,0,18115,9701
Quick Sort Pivo Fixo,aleatorio,1650,139,0,20496,10375
Quick Sort Pivo Fixo,aleatorio,1660,177,0,19357,10984
Quick Sort Pivo Fixo,aleatorio,1670,139,0,20307,12218
Quick Sort Pivo Fixo,aleatorio,1680,173,0,19044,10555
Quick Sort Pivo Fixo,aleatorio,1690,136,0,20059,11258
Quick Sort Pivo Fixo,aleatorio,1700,171,0,19051,11363
Quick Sort Pivo Fixo,aleatorio,1710,150,0,18604,10733
Quick Sort Pivo Fixo,aleatorio,1720,138,0,20722,11533
Quick Sort Pivo Fixo,aleatorio,1730,146,0,20518,10368
Quick Sort Pivo Fixo,aleatorio,1740,146,0,22306,13178
Quick Sort Pivo Fixo,aleatorio,1750,193,0,22397,13181
Quick Sort Pivo Fixo,aleatorio,1760,147,0,19508,10553
Quick Sort Pivo Fixo,aleatorio,1770,186,0,22381,11133
Quick Sort Pivo Fixo,aleatorio,1780,154,0,26603,12541
Quick Sort Pivo Fixo,aleatorio,1790,152,0,21757,12532
Quick Sort Pivo Fixo,aleatorio,1800,152,0,21451,11897
Quick Sort Pivo Fixo,aleatorio,1810,181,0,22544,11084
Quick Sort Pivo Fixo,aleatorio,1820,182,0,21273,10677
Quick Sort Pivo Fixo,aleatorio,1830,186,0,21554,11541
Quick Sort Pivo Fixo,aleatorio,1840,200,0,21516,12402
Quick Sort Pivo Fixo,aleatorio,1850,193,0,21700,13161
Quick Sort Pivo Fixo,aleatorio,1860,192,0,21280,12563
Quick Sort Pivo Fixo,aleatorio,1870,184,0,21571,11721
Quick Sort Pivo Fixo,aleatorio,1880,206,0,23009,13366
Quick Sort Pivo Fixo,aleatorio,1890,195,0,22598,11592
Quick Sort Pivo Fixo,aleatorio,1900,195,0,21617,11829
Quick Sort Pivo Fixo,aleatorio,1910,160,0,25454,12901
Quick Sort Pivo Fixo,aleatorio,1920,157,0,23824,11243
Quick Sort Pivo Fixo,aleatorio,1930,208,0,22884,12624
Quick Sort Pivo Fixo,aleatorio,1940,163,0,23541,13832
